ENTITY: clueweb12-0000tw-00-00000	France	http://dbpedia.org/resource/France
ENTITY: clueweb12-0000tw-00-00000	France	http://dbpedia.org/resource/France
ENTITY: clueweb12-0000tw-00-00000	cloud	http://dbpedia.org/resource/Cloud
ENTITY: clueweb12-0000tw-00-00000	annecy	http://dbpedia.org/resource/Annecy
ENTITY: clueweb12-0000tw-00-00000	baby blue	http://dbpedia.org/resource/Baby_blue
ENTITY: clueweb12-0000tw-00-00000	Tunis	http://dbpedia.org/resource/Tunis
ENTITY: clueweb12-0000tw-00-00000	Tunisia	http://dbpedia.org/resource/Tunisia
ENTITY: clueweb12-0000tw-00-00000	tag cloud	http://dbpedia.org/resource/Tag_cloud
ENTITY: clueweb12-0000tw-00-00000	Luke	http://dbpedia.org/resource/Luke_Spencer
ENTITY: clueweb12-0000tw-00-00000	Morton	http://dbpedia.org/resource/Greenock_Morton_F.C.
ENTITY: clueweb12-0000tw-00-00000	Flash Player	http://dbpedia.org/resource/Adobe_Flash
ENTITY: clueweb12-0000tw-00-00000	WordPress	http://dbpedia.org/resource/WordPress
ENTITY: clueweb12-0000tw-00-00001	Canigou	http://dbpedia.org/resource/Canigou
ENTITY: clueweb12-0000tw-00-00001	dans	http://dbpedia.org/resource/State_Agency_for_National_Security
ENTITY: clueweb12-0000tw-00-00001	Canigou	http://dbpedia.org/resource/Canigou
ENTITY: clueweb12-0000tw-00-00001	dans	http://dbpedia.org/resource/State_Agency_for_National_Security
ENTITY: clueweb12-0000tw-00-00001	cloud	http://dbpedia.org/resource/Cloud
ENTITY: clueweb12-0000tw-00-00001	baby blue	http://dbpedia.org/resource/Baby_blue
ENTITY: clueweb12-0000tw-00-00001	Tunis	http://dbpedia.org/resource/Tunis
ENTITY: clueweb12-0000tw-00-00001	Tunisia	http://dbpedia.org/resource/Tunisia
ENTITY: clueweb12-0000tw-00-00001	tag cloud	http://dbpedia.org/resource/Tag_cloud
ENTITY: clueweb12-0000tw-00-00001	Luke	http://dbpedia.org/resource/Luke_Spencer
ENTITY: clueweb12-0000tw-00-00001	Morton	http://dbpedia.org/resource/Greenock_Morton_F.C.
ENTITY: clueweb12-0000tw-00-00001	Flash Player	http://dbpedia.org/resource/Adobe_Flash
ENTITY: clueweb12-0000tw-00-00001	WordPress	http://dbpedia.org/resource/WordPress
ENTITY: clueweb12-0000tw-00-00002	palmier	http://dbpedia.org/resource/Palmier
ENTITY: clueweb12-0000tw-00-00002	palmier	http://dbpedia.org/resource/Palmier
ENTITY: clueweb12-0000tw-00-00002	cloud	http://dbpedia.org/resource/Cloud
ENTITY: clueweb12-0000tw-00-00002	baby blue	http://dbpedia.org/resource/Baby_blue
ENTITY: clueweb12-0000tw-00-00002	Tunis	http://dbpedia.org/resource/Tunis
ENTITY: clueweb12-0000tw-00-00002	Tunisia	http://dbpedia.org/resource/Tunisia
